Country Name,Country Code,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Afghanistan,AFG,MW,20.1,21,22,23.1,24.1,25.1,25.9,26.6,27.3,28,28.8,29.7,30.7,31.7,32.8,33.7,34.7,35.5
Angola,AGO,MW,16.4,17,17.6,18.2,18.9,19.6,20.3,21,21.8,22.5,23.4,24.2,25.1,26,26.9,27.9,28.8,29.8
Albania,ALB,MW,3.1,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Andorra,AND,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Arab World,ARB,MW,283.8,289.9,296,302.4,309.2,316.3,323.8,331.7,339.8,348.1,356.5,364.9,373.3,381.7,390,398.3,406.5,414.5
United Arab Emirates,ARE,MW,3.2,3.3,3.5,3.7,4.1,4.6,5.2,6,6.9,7.7,8.3,8.7,8.9,9,9.1,9.2,9.3,9.4
Argentina,ARG,MW,37.1,37.5,37.9,38.3,38.7,39.1,39.6,40,40.4,40.8,41.2,41.7,42.1,42.5,43,43.4,43.8,44.3
Armenia,ARM,MW,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
American Samoa,ASM,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Antigua and Barbuda,ATG,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Australia,AUS,MW,19.2,19.4,19.7,19.9,20.1,20.4,20.7,20.8,21.2,21.7,22,22.3,22.7,23.1,23.5,23.8,24.1,24.4
